Year,Census Type,Organisation Unit Number,Organisation Unit Name,Age Group,Number of Students (Persons),Number of Students (FTE)
2012,TERM 3,1382,Fraser Park Primary School,9-12 Years,32,32.0
2012,TERM 3,0139,Freeling Primary School,13-17 years,6,6.0
2012,TERM 3,0139,Freeling Primary School,8 and Under,114,114.0
2012,TERM 3,0139,Freeling Primary School,9-12 Years,83,83.0
2012,TERM 3,1196,Fregon Anangu School,13-17 years,19,19.0
2012,TERM 3,1196,Fregon Anangu School,18 and Over,3,3.0
2012,TERM 3,1196,Fregon Anangu School,8 and Under,19,18.5
2012,TERM 3,1196,Fregon Anangu School,9-12 Years,15,15.0
2012,TERM 3,0910,Fremont-Elizabeth City High School,13-17 years,752,751.6
2012,TERM 3,0910,Fremont-Elizabeth City High School,18 and Over,37,37.0
2012,TERM 3,0910,Fremont-Elizabeth City High School,9-12 Years,3,3.0
2012,TERM 3,0934,Fulham Gardens Primary School,13-17 years,4,4.0
2012,TERM 3,0934,Fulham Gardens Primary School,8 and Under,47,47.0
2012,TERM 3,0934,Fulham Gardens Primary School,9-12 Years,40,40.0
2012,TERM 3,1166,Fulham North Primary School,13-17 years,10,10.0
2012,TERM 3,1166,Fulham North Primary School,8 and Under,207,207.0
2012,TERM 3,1166,Fulham North Primary School,9-12 Years,206,206.0
2012,TERM 3,0774,Gawler and District College B-12,13-17 years,837,837.0
2012,TERM 3,0774,Gawler and District College B-12,18 and Over,38,38.0
2012,TERM 3,0774,Gawler and District College B-12,9-12 Years,3,3.0
2012,TERM 3,1008,Gawler East Primary School,13-17 years,12,12.0
2012,TERM 3,1008,Gawler East Primary School,8 and Under,217,217.0
2012,TERM 3,1008,Gawler East Primary School,9-12 Years,249,249.0
2012,TERM 3,0141,Gawler Primary School,13-17 years,3,3.0
2012,TERM 3,0141,Gawler Primary School,8 and Under,85,85.0
2012,TERM 3,0141,Gawler Primary School,9-12 Years,94,94.0
2012,TERM 3,0144,Georgetown Primary School,8 and Under,12,12.0
2012,TERM 3,0144,Georgetown Primary School,9-12 Years,19,19.0
2012,TERM 3,0145,Geranium Primary School,8 and Under,16,16.0
2012,TERM 3,0145,Geranium Primary School,9-12 Years,13,13.0
2012,TERM 3,0146,Gilles Plains Primary School,13-17 years,3,3.0
2012,TERM 3,0146,Gilles Plains Primary School,8 and Under,60,60.0
2012,TERM 3,0146,Gilles Plains Primary School,9-12 Years,61,61.0
2012,TERM 3,0120,Gilles Street Primary School,13-17 years,7,7.0
2012,TERM 3,0120,Gilles Street Primary School,8 and Under,202,202.0
2012,TERM 3,0120,Gilles Street Primary School,9-12 Years,160,160.0
2012,TERM 3,0775,Gladstone High School,13-17 years,205,203.6
2012,TERM 3,0775,Gladstone High School,18 and Over,8,7.8
2012,TERM 3,0147,Gladstone Primary School,13-17 years,3,3.0
2012,TERM 3,0147,Gladstone Primary School,8 and Under,27,27.0
2012,TERM 3,0147,Gladstone Primary School,9-12 Years,21,21.0
2012,TERM 3,0152,Glen Osmond Primary School,13-17 years,8,8.0
2012,TERM 3,0152,Glen Osmond Primary School,8 and Under,199,199.0
2012,TERM 3,0152,Glen Osmond Primary School,9-12 Years,157,157.0
2012,TERM 3,0148,Glenburnie Primary School,13-17 years,3,3.0
2012,TERM 3,0148,Glenburnie Primary School,8 and Under,49,49.0
2012,TERM 3,0148,Glenburnie Primary School,9-12 Years,52,52.0
2012,TERM 3,1217,Glencoe Central Primary School,13-17 years,1,1.0
2012,TERM 3,1217,Glencoe Central Primary School,8 and Under,29,29.0
2012,TERM 3,1217,Glencoe Central Primary School,9-12 Years,27,27.0
2012,TERM 3,1017,Glenelg Primary School,13-17 years,16,16.0
2012,TERM 3,1017,Glenelg Primary School,8 and Under,327,327.0
2012,TERM 3,1017,Glenelg Primary School,9-12 Years,319,318.8
2012,TERM 3,0927,Glenunga International High School,13-17 years,1349,1346.3
2012,TERM 3,0927,Glenunga International High School,18 and Over,63,62.6
2012,TERM 3,0927,Glenunga International High School,9-12 Years,16,16.0
2012,TERM 3,0776,Glossop High School,13-17 years,642,640.9
2012,TERM 3,0776,Glossop High School,18 and Over,48,46.6
2012,TERM 3,0776,Glossop High School,9-12 Years,1,1.0
2012,TERM 3,0153,Glossop Primary School,13-17 years,4,4.0
2012,TERM 3,0153,Glossop Primary School,8 and Under,44,44.0
2012,TERM 3,0153,Glossop Primary School,9-12 Years,49,49.0
2012,TERM 3,1834,Golden Grove High School,13-17 years,1314,1311.4
2012,TERM 3,1834,Golden Grove High School,18 and Over,38,38.0
2012,TERM 3,1834,Golden Grove High School,9-12 Years,4,4.0
2012,TERM 3,1848,Golden Grove Primary School,13-17 years,12,12.0
2012,TERM 3,1848,Golden Grove Primary School,8 and Under,324,324.0
2012,TERM 3,1848,Golden Grove Primary School,9-12 Years,313,313.0
2012,TERM 3,0156,Goodwood Primary School,13-17 years,2,2.0
2012,TERM 3,0156,Goodwood Primary School,8 and Under,181,181.0
2012,TERM 3,0156,Goodwood Primary School,9-12 Years,115,115.0
2012,TERM 3,0157,Goolwa Primary School,13-17 years,9,9.0
2012,TERM 3,0157,Goolwa Primary School,8 and Under,183,183.0
2012,TERM 3,0157,Goolwa Primary School,9-12 Years,183,183.0
2012,TERM 3,1645,Gordon Education Centre,13-17 years,34,33.4
2012,TERM 3,1645,Gordon Education Centre,18 and Over,7,7.0
2012,TERM 3,1645,Gordon Education Centre,8 and Under,10,10.0
2012,TERM 3,1645,Gordon Education Centre,9-12 Years,22,21.6
2012,TERM 3,1022,Grange Primary School,13-17 years,13,13.0
2012,TERM 3,1022,Grange Primary School,8 and Under,317,317.0
2012,TERM 3,1022,Grange Primary School,9-12 Years,323,322.8
2012,TERM 3,0928,Grant High School,13-17 years,615,615.0
2012,TERM 3,0928,Grant High School,18 and Over,51,51.0
2012,TERM 3,0160,Greenock Primary School,13-17 years,6,6.0
2012,TERM 3,0160,Greenock Primary School,8 and Under,51,51.0
2012,TERM 3,0160,Greenock Primary School,9-12 Years,50,50.0
2012,TERM 3,1858,Greenwith Primary School,13-17 years,19,19.0
2012,TERM 3,1858,Greenwith Primary School,8 and Under,318,318.0
2012,TERM 3,1858,Greenwith Primary School,9-12 Years,334,333.6
2012,TERM 3,1201,Gulfview Heights Primary School,13-17 years,5,5.0
2012,TERM 3,1201,Gulfview Heights Primary School,8 and Under,143,143.0
2012,TERM 3,1201,Gulfview Heights Primary School,9-12 Years,118,118.0
2012,TERM 3,0162,Gumeracha Primary School,13-17 years,3,3.0
2012,TERM 3,0162,Gumeracha Primary School,8 and Under,30,30.0
2012,TERM 3,0162,Gumeracha Primary School,9-12 Years,39,39.0
2012,TERM 3,1492,Hackham East Junior Primary School,8 and Under,135,135.0
2012,TERM 3,1066,Hackham East Primary School,13-17 years,12,12.0
2012,TERM 3,1066,Hackham East Primary School,8 and Under,25,25.0
2012,TERM 3,1066,Hackham East Primary School,9-12 Years,192,192.0
2012,TERM 3,1131,Hackham West R-7 School,13-17 years,2,2.0
2012,TERM 3,1131,Hackham West R-7 School,8 and Under,65,65.0
2012,TERM 3,1131,Hackham West R-7 School,9-12 Years,64,64.0
2012,TERM 3,0163,Hahndorf Primary School,13-17 years,8,8.0
2012,TERM 3,0163,Hahndorf Primary School,8 and Under,121,121.0
2012,TERM 3,0163,Hahndorf Primary School,9-12 Years,119,119.0
2012,TERM 3,1053,Hallett Cove East Primary School,13-17 years,16,16.0
2012,TERM 3,1053,Hallett Cove East Primary School,8 and Under,168,168.0
2012,TERM 3,1053,Hallett Cove East Primary School,9-12 Years,185,185.0
2012,TERM 3,0640,Hallett Cove School,13-17 years,818,813.8
2012,TERM 3,0640,Hallett Cove School,18 and Over,36,34.8
2012,TERM 3,0640,Hallett Cove School,8 and Under,170,170.0
2012,TERM 3,0640,Hallett Cove School,9-12 Years,254,254.0
2012,TERM 3,1054,Hallett Cove South Primary School,13-17 years,2,2.0
2012,TERM 3,1054,Hallett Cove South Primary School,8 and Under,83,83.0
2012,TERM 3,1054,Hallett Cove South Primary School,9-12 Years,86,86.0
2012,TERM 3,0823,Hamilton Secondary College,13-17 years,503,475.9
2012,TERM 3,0823,Hamilton Secondary College,18 and Over,557,316.3
2012,TERM 3,0167,Hamley Bridge Primary School,13-17 years,1,1.0
2012,TERM 3,0167,Hamley Bridge Primary School,8 and Under,35,35.0
2012,TERM 3,0167,Hamley Bridge Primary School,9-12 Years,31,31.0
2012,TERM 3,0689,Hampstead Primary School,13-17 years,1,1.0
2012,TERM 3,0689,Hampstead Primary School,8 and Under,79,79.0
2012,TERM 3,0689,Hampstead Primary School,9-12 Years,83,83.0
2012,TERM 3,1814,Happy Valley Junior Primary School,8 and Under,125,125.0
2012,TERM 3,0171,Happy Valley Primary School,13-17 years,7,7.0
2012,TERM 3,0171,Happy Valley Primary School,8 and Under,21,21.0
2012,TERM 3,0171,Happy Valley Primary School,9-12 Years,177,177.0
2012,TERM 3,0175,Hawker Area School,13-17 years,13,11.5
2012,TERM 3,0175,Hawker Area School,18 and Over,3,1.0
2012,TERM 3,0175,Hawker Area School,8 and Under,14,14.0
2012,TERM 3,0175,Hawker Area School,9-12 Years,8,8.0
2012,TERM 3,0972,Hawthorndene Primary School,13-17 years,6,6.0
2012,TERM 3,0972,Hawthorndene Primary School,8 and Under,159,159.0
2012,TERM 3,0972,Hawthorndene Primary School,9-12 Years,141,141.0
2012,TERM 3,0926,Heathfield High School,13-17 years,773,766.8
2012,TERM 3,0926,Heathfield High School,18 and Over,20,20.0
2012,TERM 3,0926,Heathfield High School,9-12 Years,4,4.0
2012,TERM 3,0176,Heathfield Primary School,13-17 years,1,1.0
2012,TERM 3,0176,Heathfield Primary School,8 and Under,45,45.0
2012,TERM 3,0176,Heathfield Primary School,9-12 Years,39,39.0
2012,TERM 3,0670,Hendon Primary School,13-17 years,16,16.0
2012,TERM 3,0670,Hendon Primary School,8 and Under,208,208.0
2012,TERM 3,0670,Hendon Primary School,9-12 Years,262,262.0
2012,TERM 3,0177,Henley Beach Primary School,13-17 years,5,5.0
2012,TERM 3,0177,Henley Beach Primary School,8 and Under,189,189.0
2012,TERM 3,0177,Henley Beach Primary School,9-12 Years,162,162.0
2012,TERM 3,0809,Henley High School,13-17 years,1107,1104.5
2012,TERM 3,0809,Henley High School,18 and Over,55,53.9
2012,TERM 3,0809,Henley High School,9-12 Years,5,5.0
2012,TERM 3,1876,Hewett Primary School,13-17 years,12,12.0
2012,TERM 3,1876,Hewett Primary School,8 and Under,238,238.0
2012,TERM 3,1876,Hewett Primary School,9-12 Years,245,245.0
2012,TERM 3,0596,Highbury Primary School,13-17 years,4,4.0
2012,TERM 3,0596,Highbury Primary School,8 and Under,306,306.0
2012,TERM 3,0596,Highbury Primary School,9-12 Years,262,262.0
2012,TERM 3,1063,Highgate School,13-17 years,17,17.0
2012,TERM 3,1063,Highgate School,8 and Under,288,288.0
2012,TERM 3,1063,Highgate School,9-12 Years,302,302.0
2012,TERM 3,0665,Hillcrest Primary School,13-17 years,8,8.0
2012,TERM 3,0665,Hillcrest Primary School,8 and Under,93,93.0
2012,TERM 3,0665,Hillcrest Primary School,9-12 Years,87,87.0
2012,TERM 3,0938,Hincks Avenue Primary School,13-17 years,7,7.0
2012,TERM 3,0938,Hincks Avenue Primary School,8 and Under,89,89.0
2012,TERM 3,0938,Hincks Avenue Primary School,9-12 Years,74,74.0
2012,TERM 3,0187,Houghton Primary School,8 and Under,22,22.0
2012,TERM 3,0187,Houghton Primary School,9-12 Years,7,7.0
2012,TERM 3,1067,Huntfield Heights Primary School,13-17 years,1,1.0
2012,TERM 3,1067,Huntfield Heights Primary School,8 and Under,53,53.0
2012,TERM 3,1067,Huntfield Heights Primary School,9-12 Years,42,42.0
2012,TERM 3,1174,Indulkana Anangu School,13-17 years,21,21.0
2012,TERM 3,1174,Indulkana Anangu School,18 and Over,3,3.0
2012,TERM 3,1174,Indulkana Anangu School,8 and Under,34,34.0
2012,TERM 3,1174,Indulkana Anangu School,9-12 Years,29,29.0
2012,TERM 3,0925,Ingle Farm East Primary School,13-17 years,3,3.0
2012,TERM 3,0925,Ingle Farm East Primary School,8 and Under,106,106.0
2012,TERM 3,0925,Ingle Farm East Primary School,9-12 Years,81,81.0
2012,TERM 3,1162,Ingle Farm Primary School,13-17 years,6,6.0
2012,TERM 3,1162,Ingle Farm Primary School,8 and Under,164,164.0
2012,TERM 3,1162,Ingle Farm Primary School,9-12 Years,150,150.0
2012,TERM 3,0777,Jamestown Community School,13-17 years,109,108.8
2012,TERM 3,0777,Jamestown Community School,18 and Over,4,3.7
2012,TERM 3,0777,Jamestown Community School,8 and Under,63,63.0
2012,TERM 3,0777,Jamestown Community School,9-12 Years,74,74.0
2012,TERM 3,0194,Jervois Primary School,13-17 years,2,2.0
2012,TERM 3,0194,Jervois Primary School,8 and Under,40,40.0
2012,TERM 3,0194,Jervois Primary School,9-12 Years,45,45.0
2012,TERM 3,1901,John Hartley School (B-7),13-17 years,11,11.0
2012,TERM 3,1901,John Hartley School (B-7),8 and Under,278,278.0
2012,TERM 3,1901,John Hartley School (B-7),9-12 Years,212,212.0
2012,TERM 3,0792,John Pirie Secondary School,13-17 years,659,658.1
2012,TERM 3,0792,John Pirie Secondary School,18 and Over,25,24.5
2012,TERM 3,0778,Kadina Memorial School,13-17 years,540,535.5
2012,TERM 3,0778,Kadina Memorial School,18 and Over,28,26.3
2012,TERM 3,0778,Kadina Memorial School,8 and Under,6,6.0
2012,TERM 3,0778,Kadina Memorial School,9-12 Years,6,6.0
2012,TERM 3,0196,Kadina Primary School,13-17 years,21,21.0
2012,TERM 3,0196,Kadina Primary School,8 and Under,202,202.0
2012,TERM 3,0196,Kadina Primary School,9-12 Years,251,251.0
2012,TERM 3,0197,Kalangadoo Primary School,8 and Under,19,19.0
2012,TERM 3,0197,Kalangadoo Primary School,9-12 Years,15,15.0
2012,TERM 3,0198,Kangarilla Primary School,13-17 years,1,1.0
2012,TERM 3,0198,Kangarilla Primary School,8 and Under,33,33.0
2012,TERM 3,0198,Kangarilla Primary School,9-12 Years,43,43.0
2012,TERM 3,0957,Kangaroo Inn Area School,13-17 years,35,34.4
2012,TERM 3,0957,Kangaroo Inn Area School,8 and Under,22,22.0
2012,TERM 3,0957,Kangaroo Inn Area School,9-12 Years,28,28.0
2012,TERM 3,1882,Kangaroo Island Community Education,13-17 years,228,223.7
2012,TERM 3,1882,Kangaroo Island Community Education,18 and Over,4,4.0
2012,TERM 3,1882,Kangaroo Island Community Education,8 and Under,196,196.0
2012,TERM 3,1882,Kangaroo Island Community Education,9-12 Years,223,223.0
2012,TERM 3,0779,Kapunda High School,13-17 years,408,406.3
2012,TERM 3,0779,Kapunda High School,18 and Over,21,19.9
2012,TERM 3,0200,Kapunda Primary School,13-17 years,8,8.0
2012,TERM 3,0200,Kapunda Primary School,8 and Under,152,152.0
2012,TERM 3,0200,Kapunda Primary School,9-12 Years,147,147.0
2012,TERM 3,1123,Karcultaby Area School,13-17 years,27,26.3
2012,TERM 3,1123,Karcultaby Area School,18 and Over,1,1.0
2012,TERM 3,1123,Karcultaby Area School,8 and Under,20,20.0
2012,TERM 3,1123,Karcultaby Area School,9-12 Years,20,20.0
2012,TERM 3,0756,Karoonda Area School,13-17 years,46,46.0
2012,TERM 3,0756,Karoonda Area School,18 and Over,2,2.0
2012,TERM 3,0756,Karoonda Area School,8 and Under,37,37.0
2012,TERM 3,0756,Karoonda Area School,9-12 Years,49,49.0
2012,TERM 3,1135,Karrendi Primary School,13-17 years,5,5.0
2012,TERM 3,1135,Karrendi Primary School,8 and Under,75,75.0
2012,TERM 3,1135,Karrendi Primary School,9-12 Years,64,64.0
2012,TERM 3,1792,Kaurna Plains School,13-17 years,34,34.0
2012,TERM 3,1792,Kaurna Plains School,8 and Under,13,13.0
2012,TERM 3,1792,Kaurna Plains School,9-12 Years,19,19.0
2012,TERM 3,0757,Keith Area School,13-17 years,94,93.2
2012,TERM 3,0757,Keith Area School,18 and Over,5,4.8
2012,TERM 3,0757,Keith Area School,8 and Under,123,123.0
2012,TERM 3,0757,Keith Area School,9-12 Years,107,107.0
2012,TERM 3,1847,Keithcot Farm Primary School,13-17 years,8,8.0
2012,TERM 3,1847,Keithcot Farm Primary School,8 and Under,267,267.0
2012,TERM 3,1847,Keithcot Farm Primary School,9-12 Years,221,221.0
2012,TERM 3,0632,Keller Road Primary School,13-17 years,2,2.0
2012,TERM 3,0632,Keller Road Primary School,8 and Under,77,77.0
2012,TERM 3,0632,Keller Road Primary School,9-12 Years,74,74.0
2012,TERM 3,1696,Kenmore Park Anangu School,13-17 years,4,4.0
2012,TERM 3,1696,Kenmore Park Anangu School,18 and Over,1,1.0
2012,TERM 3,1696,Kenmore Park Anangu School,9-12 Years,5,5.0
2012,TERM 3,0997,Kensington Centre,13-17 years,38,37.2
2012,TERM 3,0997,Kensington Centre,18 and Over,7,7.0
2012,TERM 3,0204,Kersbrook Primary School,13-17 years,2,2.0
2012,TERM 3,0204,Kersbrook Primary School,8 and Under,30,30.0
2012,TERM 3,0204,Kersbrook Primary School,9-12 Years,44,44.0
2012,TERM 3,0205,Keyneton Primary School,8 and Under,20,20.0
2012,TERM 3,0205,Keyneton Primary School,9-12 Years,12,12.0
2012,TERM 3,0996,Kidman Park Primary School,13-17 years,7,7.0
2012,TERM 3,0996,Kidman Park Primary School,8 and Under,233,229.8
2012,TERM 3,0996,Kidman Park Primary School,9-12 Years,196,193.5
2012,TERM 3,0207,Kilkenny Primary School,13-17 years,13,13.0
2012,TERM 3,0207,Kilkenny Primary School,8 and Under,153,152.8
2012,TERM 3,0207,Kilkenny Primary School,9-12 Years,135,135.0
2012,TERM 3,1372,Kilparrin Tch & Assessment Sch & Ser,13-17 years,5,5.0
2012,TERM 3,1372,Kilparrin Tch & Assessment Sch & Ser,8 and Under,8,8.0
2012,TERM 3,1372,Kilparrin Tch & Assessment Sch & Ser,9-12 Years,8,8.0
2012,TERM 3,0736,Kimba Area School,13-17 years,65,65.0
2012,TERM 3,0736,Kimba Area School,18 and Over,2,1.4
2012,TERM 3,0736,Kimba Area School,8 and Under,67,63.7
2012,TERM 3,0736,Kimba Area School,9-12 Years,48,47.1
2012,TERM 3,0737,Kingston Community School,13-17 years,161,160.4
2012,TERM 3,0737,Kingston Community School,18 and Over,4,3.2
2012,TERM 3,0737,Kingston Community School,8 and Under,102,102.0
2012,TERM 3,0737,Kingston Community School,9-12 Years,99,99.0
2012,TERM 3,0209,Kingston on Murray Primary School,8 and Under,15,15.0
2012,TERM 3,0209,Kingston on Murray Primary School,9-12 Years,5,5.0
2012,TERM 3,0899,Kirton Point Primary School,13-17 years,6,6.0
2012,TERM 3,0899,Kirton Point Primary School,8 and Under,129,129.0
2012,TERM 3,0899,Kirton Point Primary School,9-12 Years,132,132.0
2012,TERM 3,0898,Klemzig Primary School,13-17 years,10,10.0
2012,TERM 3,0898,Klemzig Primary School,8 and Under,131,131.0
2012,TERM 3,0898,Klemzig Primary School,9-12 Years,122,122.0
2012,TERM 3,0211,Kongorong Primary School,8 and Under,36,36.0
2012,TERM 3,0211,Kongorong Primary School,9-12 Years,24,24.0
2012,TERM 3,0212,Koolunga Primary School,8 and Under,12,12.0
2012,TERM 3,0212,Koolunga Primary School,9-12 Years,7,7.0
2012,TERM 3,1003,Koonibba Aboriginal School,8 and Under,20,20.0
2012,TERM 3,1003,Koonibba Aboriginal School,9-12 Years,14,14.0
2012,TERM 3,0563,Lake Wangary Primary School,8 and Under,42,42.0
2012,TERM 3,0563,Lake Wangary Primary School,9-12 Years,48,48.0
2012,TERM 3,1908,Lake Windemere CPC-7 School,13-17 years,15,15.0
2012,TERM 3,1908,Lake Windemere CPC-7 School,8 and Under,255,255.0
2012,TERM 3,1908,Lake Windemere CPC-7 School,9-12 Years,254,254.0
2012,TERM 3,0759,Lameroo Regional Community School,13-17 years,90,85.5
2012,TERM 3,0759,Lameroo Regional Community School,18 and Over,1,0.8
2012,TERM 3,0759,Lameroo Regional Community School,8 and Under,53,53.0
2012,TERM 3,0759,Lameroo Regional Community School,9-12 Years,55,55.0
2012,TERM 3,1264,Largs Bay Junior Primary School,8 and Under,166,166.0
2012,TERM 3,0219,Largs Bay School,13-17 years,11,11.0
2012,TERM 3,0219,Largs Bay School,8 and Under,49,49.0
2012,TERM 3,0219,Largs Bay School,9-12 Years,216,216.0
2012,TERM 3,0220,Laura Primary School,13-17 years,4,4.0
2012,TERM 3,0220,Laura Primary School,8 and Under,28,27.4
2012,TERM 3,0220,Laura Primary School,9-12 Years,27,27.0
2012,TERM 3,0814,Le Fevre High School,13-17 years,587,573.7
2012,TERM 3,0814,Le Fevre High School,18 and Over,37,33.8
2012,TERM 3,0814,Le Fevre High School,9-12 Years,2,2.0
2012,TERM 3,0221,Le Fevre Peninsula Primary School,13-17 years,11,11.0
2012,TERM 3,0221,Le Fevre Peninsula Primary School,8 and Under,194,194.0
2012,TERM 3,0221,Le Fevre Peninsula Primary School,9-12 Years,167,167.0
2012,TERM 3,0748,Leigh Creek Area School,13-17 years,46,40.5
2012,TERM 3,0748,Leigh Creek Area School,18 and Over,2,1.8
2012,TERM 3,0748,Leigh Creek Area School,8 and Under,62,60.3
2012,TERM 3,0748,Leigh Creek Area School,9-12 Years,39,39.0
2012,TERM 3,0136,Lenswood Primary School,8 and Under,46,46.0
2012,TERM 3,0136,Lenswood Primary School,9-12 Years,50,50.0
2012,TERM 3,0223,Light Pass Primary School,8 and Under,25,25.0
2012,TERM 3,0223,Light Pass Primary School,9-12 Years,24,24.0
2012,TERM 3,1158,Lincoln Gardens Primary School,13-17 years,1,1.0
2012,TERM 3,1158,Lincoln Gardens Primary School,8 and Under,35,35.0
2012,TERM 3,1158,Lincoln Gardens Primary School,9-12 Years,35,35.0
2012,TERM 3,1295,Linden Park Junior Primary School,8 and Under,334,334.0
2012,TERM 3,0647,Linden Park Primary School,13-17 years,14,14.0
2012,TERM 3,0647,Linden Park Primary School,8 and Under,85,85.0
2012,TERM 3,0647,Linden Park Primary School,9-12 Years,347,347.0
2012,TERM 3,0225,Littlehampton Primary School,13-17 years,16,16.0
2012,TERM 3,0225,Littlehampton Primary School,8 and Under,207,207.0
2012,TERM 3,0225,Littlehampton Primary School,9-12 Years,161,161.0
2012,TERM 3,0227,Lobethal Primary School,13-17 years,4,4.0
2012,TERM 3,0227,Lobethal Primary School,8 and Under,77,77.0
2012,TERM 3,0227,Lobethal Primary School,9-12 Years,66,66.0
2012,TERM 3,0230,Lock Area School,13-17 years,21,19.8
2012,TERM 3,0230,Lock Area School,8 and Under,24,24.0
2012,TERM 3,0230,Lock Area School,9-12 Years,31,31.0
2012,TERM 3,0911,Lockleys North Primary School,13-17 years,13,13.0
2012,TERM 3,0911,Lockleys North Primary School,8 and Under,234,234.0
2012,TERM 3,0911,Lockleys North Primary School,9-12 Years,217,217.0
2012,TERM 3,0231,Lockleys Primary School,13-17 years,5,5.0
2012,TERM 3,0231,Lockleys Primary School,8 and Under,63,63.0
2012,TERM 3,0231,Lockleys Primary School,9-12 Years,81,81.0
2012,TERM 3,1133,Long Street Primary School,13-17 years,7,7.0
2012,TERM 3,1133,Long Street Primary School,8 and Under,184,184.0
2012,TERM 3,1133,Long Street Primary School,9-12 Years,154,154.0
2012,TERM 3,1098,Lonsdale Heights Primary School,8 and Under,47,47.0
2012,TERM 3,1098,Lonsdale Heights Primary School,9-12 Years,46,46.0
2012,TERM 3,0235,Loveday Primary School,8 and Under,3,3.0
2012,TERM 3,0235,Loveday Primary School,9-12 Years,5,5.0
2012,TERM 3,0895,Loxton High School,13-17 years,600,598.3
2012,TERM 3,0895,Loxton High School,18 and Over,9,9.0
2012,TERM 3,0678,Loxton North Primary School,13-17 years,4,4.0
2012,TERM 3,0678,Loxton North Primary School,8 and Under,34,34.0
2012,TERM 3,0678,Loxton North Primary School,9-12 Years,40,40.0
2012,TERM 3,0760,Loxton Primary School,13-17 years,8,8.0
2012,TERM 3,0760,Loxton Primary School,8 and Under,174,174.0
2012,TERM 3,0760,Loxton Primary School,9-12 Years,185,185.0
2012,TERM 3,0749,Lucindale Area School,13-17 years,66,61.6
2012,TERM 3,0749,Lucindale Area School,18 and Over,2,1.4
2012,TERM 3,0749,Lucindale Area School,8 and Under,64,64.0
2012,TERM 3,0749,Lucindale Area School,9-12 Years,52,52.0
2012,TERM 3,0237,Lyndoch Primary School,13-17 years,7,7.0
2012,TERM 3,0237,Lyndoch Primary School,8 and Under,74,74.0
2012,TERM 3,0237,Lyndoch Primary School,9-12 Years,66,66.0
2012,TERM 3,0238,Lyrup Primary School,8 and Under,3,3.0
2012,TERM 3,0238,Lyrup Primary School,9-12 Years,2,2.0
2012,TERM 3,0239,Macclesfield Primary School,13-17 years,3,3.0
2012,TERM 3,0239,Macclesfield Primary School,8 and Under,54,54.0
2012,TERM 3,0239,Macclesfield Primary School,9-12 Years,41,41.0
2012,TERM 3,1296,Madison Park Junior Primary School,8 and Under,99,99.0
2012,TERM 3,0649,Madison Park School,13-17 years,3,3.0
2012,TERM 3,0649,Madison Park School,8 and Under,19,19.0
2012,TERM 3,0649,Madison Park School,9-12 Years,83,83.0
2012,TERM 3,1213,Magill School,13-17 years,30,30.0
2012,TERM 3,1213,Magill School,8 and Under,367,367.0
2012,TERM 3,1213,Magill School,9-12 Years,417,417.0
2012,TERM 3,0761,Maitland Area School,13-17 years,78,77.5
2012,TERM 3,0761,Maitland Area School,18 and Over,3,3.0
2012,TERM 3,0761,Maitland Area School,8 and Under,59,59.0
2012,TERM 3,0761,Maitland Area School,9-12 Years,69,69.0
2012,TERM 3,0241,Mallala Primary School,8 and Under,68,68.0
2012,TERM 3,0241,Mallala Primary School,9-12 Years,61,61.0
2012,TERM 3,1170,Mannum Community College,13-17 years,108,107.1
2012,TERM 3,1170,Mannum Community College,18 and Over,3,2.6
2012,TERM 3,1170,Mannum Community College,8 and Under,105,105.0
2012,TERM 3,1170,Mannum Community College,9-12 Years,109,109.0
2012,TERM 3,0245,Manoora Primary School,13-17 years,3,3.0
2012,TERM 3,0245,Manoora Primary School,8 and Under,19,19.0
2012,TERM 3,0245,Manoora Primary School,9-12 Years,11,11.0
2012,TERM 3,0583,Marden Senior College,13-17 years,428,177.5
2012,TERM 3,0583,Marden Senior College,18 and Over,463,340.2
2012,TERM 3,0993,Marion Primary School,13-17 years,7,6.5
2012,TERM 3,0993,Marion Primary School,8 and Under,58,58.0
2012,TERM 3,0993,Marion Primary School,9-12 Years,71,71.0
2012,TERM 3,1900,Mark Oliphant College (B-12),13-17 years,619,619.0
2012,TERM 3,1900,Mark Oliphant College (B-12),18 and Over,33,33.0
2012,TERM 3,1900,Mark Oliphant College (B-12),8 and Under,330,330.0
2012,TERM 3,1900,Mark Oliphant College (B-12),9-12 Years,300,300.0
2012,TERM 3,0248,Marree Aboriginal School,13-17 years,9,8.8
2012,TERM 3,0248,Marree Aboriginal School,18 and Over,1,1.0
2012,TERM 3,0248,Marree Aboriginal School,8 and Under,9,8.4
2012,TERM 3,0248,Marree Aboriginal School,9-12 Years,4,4.0
2012,TERM 3,0817,Marryatville High School,13-17 years,1146,1135.8
2012,TERM 3,0817,Marryatville High School,18 and Over,52,48.6
2012,TERM 3,0817,Marryatville High School,9-12 Years,7,7.0
2012,TERM 3,0249,Marryatville Primary School,13-17 years,20,20.0
2012,TERM 3,0249,Marryatville Primary School,8 and Under,242,242.0
2012,TERM 3,0249,Marryatville Primary School,9-12 Years,210,210.0
2012,TERM 3,0987,Mawson Lakes School,13-17 years,21,21.0
2012,TERM 3,0987,Mawson Lakes School,8 and Under,364,364.0
2012,TERM 3,0987,Mawson Lakes School,9-12 Years,286,286.0
2012,TERM 3,1021,McDonald Park School,13-17 years,23,23.0
